frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.88,  1, 0.00, 0.00, 0.00, 0.00, 0.73, 1.04, 0.00, 1.06, 1.52, 0.66, 0.00, 0.13, 0.00, 0.52, 0.40, 0.30, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
2,  0,  0.033,  0.88,  1, 0.00, 0.00, 0.00, 0.00, 0.75, 1.39, 0.00, 1.25, 1.59, 0.87, 0.00, 0.11, 0.03, 0.39, 0.93, 0.63, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
3,  0,  0.067,  0.88,  1, 0.00, 0.00, 0.00, 0.00, 0.71, 1.49, 0.00, 1.33, 1.63, 0.90, 0.00, 0.07, 0.03, 0.39, 1.17, 0.84, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
4,  0,  0.100,  0.88,  1, 0.00, 0.00, 0.00, 0.00, 0.59, 1.36, 0.00, 1.37, 1.60, 0.82, 0.00, 0.01, 0.00, 0.40, 1.24, 0.93, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
5,  0,  0.133,  0.88,  1, 0.00, 0.00, 0.00, 0.00, 0.44, 1.46, 0.00, 1.32, 1.55, 0.77, 0.00, 0.00, 0.00, 0.46, 1.26, 0.93, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
6,  0,  0.167,  0.93,  1, 0.01, 0.00, 0.00, 0.00, 0.35, 1.48, 0.00, 1.21, 1.53, 0.82, 0.00, 0.00, 0.00, 0.48, 1.28, 0.90, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
7,  0,  0.200,  0.88,  1, 0.01, 0.00, 0.00, 0.00, 0.34, 1.49, 0.00, 1.14, 1.55, 0.82, 0.00, 0.00, 0.00, 0.56, 1.30, 0.92, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
8,  0,  0.233,  0.88,  1, 0.06, 0.00, 0.00, 0.00, 0.34, 1.42, 0.00, 1.07, 1.56, 0.87, 0.00, 0.00, 0.00, 0.61, 1.27, 0.85, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
9,  0,  0.267,  0.88,  1, 0.11, 0.00, 0.00, 0.00, 0.37, 1.48, 0.00, 1.08, 1.53, 0.79, 0.00, 0.00, 0.00, 0.55, 1.33, 0.85, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
10,  0,  0.300,  0.88,  1, 0.18, 0.00, 0.01, 0.00, 0.39, 1.32, 0.00, 1.09, 1.53, 0.75, 0.00, 0.00, 0.00, 0.46, 1.40, 0.77, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
